"ID","Name","Published Date","Video Views","Engagement Score","Video Percent Viewed" 
"5794837166001","EY - Dell Technologies Alliance Overview","2018-06-07T15:56:45.949Z","0","0","0"
"5794938358001","Video - Welcome to EY Facilitators - 1920x1080","2018-06-07T20:09:04.903Z","2","60.81","121.62"
"5795175063001","HotTopic webcast June5.2018","2018-06-08T09:38:42.669Z","3","33.1","99.31"
"5795360028001","webcast_2018-06-08-1300_podcast_its_spotlight_jun08_2018","2018-06-08T17:43:28.139Z","0","0","0"
"5796051925001","Automotive Financial benhamrking dashboard","2018-06-11T08:45:17.568Z","0","0","0"
"5796063693001","Ken Welter, EY Global Technology TAS Leader "can you move your business as fast as consumer behaviour"","2018-06-11T09:14:43.174Z","3","144.17","432.5"
"5796201475001","Winning in Consumer Products and Retail quarterly December 2016","2018-06-11T15:33:46.365Z","0","0","0"
"5796485644001","Sector_Specialisation_AlexHanmer","2018-06-12T07:28:54.673Z","2","6.67","13.33"
"5796509957001","Opening up of WAM industry in China","2018-06-12T08:33:46.147Z","0","0","0"
"5797024028001","Video - Countdown clock wins_v1","2018-06-13T11:33:04.658Z","3","6.9","20.71"
"5797120878001","Belonging at EY - Brett","2018-06-13T15:22:30.275Z","0","0","0"
"5797433056001","miningandmetalsadvisoryallhandswebcast20180417","2018-06-14T07:30:26.134Z","1","0.26","0.26"
"5797931465001","credentials_tool_1","2018-06-15T10:39:03.784Z","0","0","0"
"5797932048001","Video 1_Administrative Strategies LLC","2018-06-15T11:05:36.729Z","4","93.11","372.45"
"5797932139001","Video 2_Devbridge Group LLC","2018-06-15T11:10:02.868Z","1","22.33","22.33"
"5797934586001","Video 3_Envestnet","2018-06-15T11:12:55.419Z","1","17.5","17.5"
"5797942692001","Video 6_SPINS LLC","2018-06-15T11:24:30.430Z","2","100","200"
"5797938425001","Video 7_The Marcus Corporation","2018-06-15T11:29:34.815Z","1","105.61","105.61"
"5797964612001","Video 8_Uptake Technologies Inc","2018-06-15T12:39:13.353Z","4","65.1","260.4"
"5797964631001","Video 9_West Monroe Partners","2018-06-15T12:43:33.651Z","5","112.29","561.46"
"5798105486001","The TMT All hands webcast","2018-06-15T19:09:07.322Z","1","25.33","25.33"
"5798761412001","GBB Tax - Video V4","2018-06-18T11:17:53.657Z","0","0","0"
"5798789739001","AdvisoryConnected – Technology","2018-06-18T13:11:31.054Z","0","0","0"
"5798824235001","EY and ServiceNow® : Helping organizations succeed in the Transformative Age","2018-06-18T14:36:56.048Z","0","0","0"
"5799460628001","History of PAS (internal use)","2018-06-19T21:42:02.183Z","4","31.68","126.73"
"5799581757001","Christina Eberhart – Senior Manager, Life Sciences","2018-06-20T06:38:52.193Z","0","0","0"
"5799589431001","Boudewijn Chalmers Hoynck van Papendrecht – Senior Manager, Wealth & Asset Management","2018-06-20T06:46:38.428Z","0","0","0"
"5799581249001","Max Nolan – Manager, Oil & Gas","2018-06-20T06:50:51.036Z","1","0","0"
"5799579433001","Alexander Hanmer – Senior Manager, Consumer Products & Retail","2018-06-20T06:58:00.906Z","0","0","0"
"5799627736001","EY Smart Factory ","2018-06-20T08:56:40.849Z","3","68.73","206.2"
"5800006246001","Jonathan Sears","2018-06-21T01:19:08.296Z","1","0","0"
"5800002049001","Composite","2018-06-21T01:19:08.300Z","0","0","0"
"5799994080001","Kushan Shah","2018-06-21T01:19:08.303Z","1","69.18","69.18"
"5799999108001","Kim Ramko","2018-06-21T01:19:08.333Z","0","0","0"
"5800002933001","Kara Loraus","2018-06-21T01:19:08.404Z","4","34.52","138.06"
"5800003421001","Niki Lee","2018-06-21T01:19:08.497Z","2","66.7","133.4"
"5800104812001","Gregory Cudahy, Global Technology, Media & Entertainment and Telecommunications Leader, helps answer the question "In this transformative age do you compete or collaborate" at VivaTech 2018","2018-06-21T06:53:42.382Z","0","0","0"
"5800131946001","how-solutions-help-drive","2018-06-21T08:09:18.135Z","1","4.24","4.24"
"5800133107001","importance-of-solutions","2018-06-21T08:09:19.770Z","1","92.23","92.23"
"5800172992001","OG_BusinessTransformationBCM","2018-06-21T09:57:45.336Z","0","0","0"
"5800190469001","Life Sciences TAS Quarterly Insights","2018-06-21T10:43:41.043Z","2","0","0"
"5800287802001","Maria_CPR Webcast_FCN_June 2018","2018-06-21T14:49:59.686Z","0","0","0"
"5800288119001","Chandan video_FCN_June 2018_CPR webcast","2018-06-21T14:51:25.500Z","2","50","100"
"5800282499001","Richard Taylor_CPR Webcast_FCN_June 2018","2018-06-21T14:52:27.785Z","1","0","0"
"5800646038001","Janet Balis-TMT","2018-06-22T09:39:29.840Z","0","0","0"
"5800647227001","John_Nendick_TMT Top 100","2018-06-22T09:39:37.135Z","0","0","0"
"5800897511001","webcast_2018-06-22-1300_podcast_its_spotlight_jun22_2018","2018-06-22T21:12:38.873Z","0","0","0"
"5801704522001","1806_2726464KatyFrankelV2","2018-06-25T18:33:51.611Z","0","0","0"
"5801909085001","Country Risk Analysis Part 1","2018-06-26T07:07:15.496Z","0","0","0"
"5801912490001","Country Risk Analysis Part2","2018-06-26T07:07:21.520Z","0","0","0"
"5801910537001","Future of Mobility","2018-06-26T07:39:37.491Z","4","79.62","318.48"
"5802026872001","Global OG Analyst Thought Spot - Market trends Webcast Replay","2018-06-26T12:30:30.803Z","0","0","0"
"5802042287001","Customer Connect Program","2018-06-26T12:59:19.873Z","1","38.89","38.89"
"5802122023001","EMEIA Alliances Interview of Tom Velema","2018-06-26T16:00:11.409Z","2","108.76","217.51"
"5802121802001","EMEIA Alliances: Interviews of a selection of stakeholders","2018-06-26T16:00:11.465Z","1","115.3","115.3"
"5802481385001","7_How to preview a page","2018-06-27T10:53:56.807Z","4","56.96","227.83"
"5802485082001","3_How to add-edit-remove content tags on a page","2018-06-27T10:53:56.809Z","5","61.18","305.88"
"5802479877001","6_How to apply pre configured styling to a component ","2018-06-27T10:53:56.897Z","5","62.94","314.69"
"5802481387001","3_How to trigger the deletion workflow","2018-06-27T10:54:13.534Z","2","83.75","167.5"
"5802479879001","2_How to trigger the unpublishing workflow","2018-06-27T10:54:13.540Z","2","93.37","186.74"
"5802485664001","4_How to generate a permalink","2018-06-27T10:54:13.578Z","3","42.59","127.78"
"5802748007001","TAS Credentials Tool","2018-06-27T20:05:49.166Z","1","0","0"
"5803024856001","Raghav Mani, Global Media & Entertainment Strategic Operations Leader","2018-06-28T10:38:25.277Z","0","0","0"
"5803038379001","Janet Balis-TMT","2018-06-28T11:14:15.632Z","0","0","0"
"5803041144001","John_Nendick_TMT Top 100","2018-06-28T11:14:25.762Z","0","0","0"
"5803153434001","EMEIA IBM Alliance: Interview of Rich Preece","2018-06-28T15:56:44.139Z","1","100","100"
"5803151229001","EMEIA Microsoft Alliance: Interview of Steve Wills","2018-06-28T15:56:44.142Z","4","49.12","196.46"
"5803151230001","Innovating for Agribusiness: EY and Microsoft","2018-06-28T15:56:44.166Z","3","11.29","33.87"
"5803157826001","Live from IBM Think 2018 with Tom Hever, EY Global IBM Alliance Leader","2018-06-28T15:56:44.198Z","1","100","100"
"5803164489001","EMEIA SAP Alliance: Interview of Markus Heinen","2018-06-28T16:04:49.595Z","2","91.09","182.18"
"5803483371001","1066292269001_5693749936001_5693742434001","2018-06-29T11:01:48.324Z","3","58.55","175.64"
"5803633587001","Global Mining & Metals webcast","2018-06-29T18:14:34.045Z","1","0","0"
"5803693344001","EA CSE 2018-03-19","2018-06-29T20:44:10.811Z","1","0","0"
"5803694737001","2018-04-03 EA OneConference Training Africa","2018-06-29T20:44:10.812Z","1","0","0"
"5803693345001","OneConference EA Training Americas 1 May","2018-06-29T20:44:10.865Z","2","0.29","0.58"
"5803694244001","EA SfB and OV Training","2018-06-29T20:44:10.910Z","4","41.23","164.93"
"5803688616001","Oman EA Training Session","2018-06-29T20:44:10.914Z","3","0.6","1.79"
"5804443692001","Hyper-automation","2018-07-02T17:17:44.904Z","0","0","0"
"5804464169001","Tony Q Message","2018-07-02T18:14:48.443Z","2","98.31","196.61"
"5804929965001","Watch a live tour of the unique and immersive venue with Uschi Schreiber, Chair, Global Accounts Committee & Global Vice Chair, Markets","2018-07-03T17:25:03.205Z","2","54.02","108.04"
"5805222398001","FutureConsumer-Main-FINAL","2018-07-04T09:41:51.290Z","0","0","0"
"5805229559001","FutureConsumer-promo-FINALsubtitles","2018-07-04T09:49:49.619Z","0","0","0"
"5805400532001","Family Business 2018","2018-07-04T18:40:45.219Z","5","28.39","141.96"
"5805746160001","Citizen Intelligent Platform – analytics","2018-07-05T15:31:52.134Z","2","15.93","31.86"
"5806030309001","Reinventing the way forward and disrupting financial crime","2018-07-06T07:28:39.003Z","0","0","0"
"5806084796001","EY_Brand_Walter_Tong_Video","2018-07-06T09:56:12.624Z","0","0","0"
"5806956140001","EYBrand_T3_DIGITAL_EY_DIGITAL_TRUST_VIDEO_Subtitled_ MM-GB_PP014","2018-07-09T10:18:34.922Z","0","0","0"
"5806958109001","Exceptional Client Service: Walter Tong, Global Client Service Partner, Alibaba ","2018-07-09T10:40:11.459Z","0","0","0"
